node_id,feat
0,"0.0052570093457943,0.004964953271028,2.4374519920894512e-05,0.276686362241807,0.0091096299849695,0.5259515570934256"
7,"0.0061331775700934,0.0061331775700934,4.911256312017141e-05,0.2784729324634103,0.008889594683449,0.4238095238095238"
1,"0.0020443925233644,0.0020443925233644,7.817093631933586e-07,0.2668372615207849,0.004766024539464,0.5714285714285714"
9,"0.0046728971962616,0.0046728971962616,2.958986292568191e-05,0.2868189427903064,0.0098748495211929,0.4958333333333333"
2,"0.0040887850467289,0.0040887850467289,4.369092804602329e-06,0.2686071115122679,0.0067550088267938,0.5384615384615384"
13,"0.0154789719626168,0.0151869158878504,0.0017648700591358,0.3109644835308707,0.022950947146192,0.2592455621301775"
3,"0.0551985981308411,0.0551985981308411,0.0294173018576407,0.3349934146702479,0.0766412282318879,0.0741363540420741"
10,"0.0020443925233644,0.0020443925233644,6.507442857981919e-07,0.2754927592190284,0.0063858218083776,0.8095238095238095"
15,"0.0002920560747663,0.0002920560747663,0.0,0.2499841704024517,0.0011061218722922,0.0"
16,"0.000876168224299,0.000876168224299,7.39454469171802e-08,0.2547008528628753,0.0021114312594144,0.6666666666666666"
4,"0.0026285046728971,0.0026285046728971,4.079040758645805e-07,0.2552686386060549,0.0032899436236418,0.5"
6,"0.0029205607476635,0.0029205607476635,5.457130628417465e-06,0.2683032818636316,0.0079067492614059,0.6222222222222222"
5,"0.0113901869158878,0.0113901869158878,0.0003334544786757,0.3119283974850806,0.0324157807714099,0.4304993252361673"
8,"0.0327102803738317,0.032126168224299,0.0078235593419988,0.3246128758187847,0.066117177192658,0.1792031774629432"
14,"0.0192757009345794,0.018983644859813,0.0040438392733024,0.3100643995916123,0.0280559489250731,0.1940007099751508"
11,"0.0026285046728971,0.0026285046728971,5.357903597135962e-06,0.2646258442605919,0.0035392878697856,0.6111111111111112"
12,"0.0029205607476635,0.0029205607476635,7.979979522626592e-06,0.2654720377029473,0.0044429390029759,0.5777777777777777"
17,"0.0011682242990654,0.0011682242990654,2.911402692434811e-07,0.2596598420225325,0.0021319556508136,0.8333333333333334"
