node_id,label,feat
0,2,"0.0052570093457943,0.004964953271028,2.4374519920894512e-05,0.276686362241807,0.0091096299849695"
1,1,"0.0020443925233644,0.0020443925233644,7.817093631933586e-07,0.2668372615207849,0.004766024539464"
2,1,"0.0040887850467289,0.0040887850467289,4.369092804602329e-06,0.2686071115122679,0.0067550088267938"
3,2,"0.0551985981308411,0.0551985981308411,0.0294173018576407,0.3349934146702479,0.0766412282318879"
4,1,"0.0026285046728971,0.0026285046728971,4.079040758645805e-07,0.2552686386060549,0.0032899436236418"
5,2,"0.0113901869158878,0.0113901869158878,0.0003334544786757,0.3119283974850806,0.0324157807714099"
6,1,"0.0029205607476635,0.0029205607476635,5.457130628417465e-06,0.2683032818636316,0.0079067492614059"
7,2,"0.0061331775700934,0.0061331775700934,4.911256312017141e-05,0.2784729324634103,0.008889594683449"
8,2,"0.0327102803738317,0.032126168224299,0.0078235593419988,0.3246128758187847,0.066117177192658"
9,1,"0.0046728971962616,0.0046728971962616,2.958986292568191e-05,0.2868189427903064,0.0098748495211929"
10,1,"0.0020443925233644,0.0020443925233644,6.507442857981919e-07,0.2754927592190284,0.0063858218083776"
11,1,"0.0026285046728971,0.0026285046728971,5.357903597135962e-06,0.2646258442605919,0.0035392878697856"
12,1,"0.0029205607476635,0.0029205607476635,7.979979522626592e-06,0.2654720377029473,0.0044429390029759"
13,2,"0.0154789719626168,0.0151869158878504,0.0017648700591358,0.3109644835308707,0.022950947146192"
14,2,"0.0192757009345794,0.018983644859813,0.0040438392733024,0.3100643995916123,0.0280559489250731"
15,1,"0.0002920560747663,0.0002920560747663,0.0,0.2499841704024517,0.0011061218722922"
16,1,"0.000876168224299,0.000876168224299,7.39454469171802e-08,0.2547008528628753,0.0021114312594144"
17,1,"0.0011682242990654,0.0011682242990654,2.911402692434811e-07,0.2596598420225325,0.0021319556508136"
18,1,"0.0026285046728971,0.0026285046728971,2.178193384868891e-05,0.264963673472127,0.0031895766769659"
19,1,"0.0081775700934579,0.0081775700934579,0.0028421296718841,0.2864972581853307,0.0073537086529794"
20,0,"0.0002920560747663,0.0002920560747663,0.0,0.2219482502089405,0.0001061392936224"
21,1,"0.0017523364485981,0.0017523364485981,3.839475128392048e-07,0.2524739389968956,0.0018195951617784"
22,0,"0.0002920560747663,0.0002920560747663,0.0,0.2219482502089405,0.0001061392936224"
23,1,"0.0002920560747663,0.0002920560747663,0.0,0.2219482502089405,0.0001061392936224"
24,1,"0.0005841121495327,0.0005841121495327,0.0,0.222096690718711,0.0001985338513907"
25,1,"0.0067172897196261,0.0067172897196261,0.0032452391403172,0.2797396781759049,0.006401519545417"
26,1,"0.0002920560747663,0.0002920560747663,0.0,0.2428187861674589,0.0003305355944406"
27,2,"0.0014602803738317,0.0014602803738317,2.122478102721699e-06,0.2431566024475484,0.000370292243016"
28,1,"0.0002920560747663,0.0002920560747663,0.0,0.2428187861674589,0.0003305355944406"
29,1,"0.0011682242990654,0.0011682242990654,5.374851646940852e-06,0.2458751458334198,0.0007935652010205"
30,2,"0.0166471962616822,0.0166471962616822,0.0137481559513626,0.3222503366934661,0.0228961276707953"
31,1,"0.000876168224299,0.000876168224299,0.0,0.2428543015669276,0.0003470029697658"
32,1,"0.0005841121495327,0.0005841121495327,0.0,0.2428365425686411,0.0003358817312686"
33,1,"0.000876168224299,0.000876168224299,0.0,0.2428543015669276,0.0003470029697658"
34,1,"0.0058411214953271,0.0061331775700934,0.0003714186427477,0.2867941721760228,0.0096287848176514"
35,2,"0.0081775700934579,0.0087616822429906,0.0029941017472017,0.309630743088687,0.0189615969391322"
36,2,"0.0046728971962616,0.0046728971962616,7.999858225278601e-05,0.287763407246635,0.0090443323051513"
37,1,"0.0005841121495327,0.0005841121495327,0.0,0.2224090629982029,0.0002549619945878"
38,1,"0.0055490654205607,0.0052570093457943,0.0004023614451391,0.2843872329901659,0.0075182269441563"
39,1,"0.009053738317757,0.009053738317757,0.0016566177872165,0.3082225468374019,0.0213424168118633"
40,1,"0.0040887850467289,0.0040887850467289,8.11764111220248e-05,0.2863984234261464,0.0059275762605225"
41,2,"0.0026285046728971,0.0023364485981308,2.348096099393422e-05,0.2879131021004134,0.0066218093824242"
42,1,"0.0040887850467289,0.0043808411214953,0.0002912792514027,0.2851197492595662,0.0080369476802188"
43,2,"0.0216121495327102,0.0216121495327102,0.024835663352562,0.3152748238513403,0.0262122752747947"
44,1,"0.0052570093457943,0.0052570093457943,0.0014445973177938,0.2778438520436888,0.0045913748256979"
45,2,"0.0052570093457943,0.0055490654205607,0.002507780270228,0.2893430094646831,0.0067906115812376"
46,1,"0.0005841121495327,0.0005841121495327,3.106759639404204e-06,0.2305463565416667,0.0001565972711672"
47,0,"0.0002920560747663,0.0002920560747663,0.0,0.2236523248670641,9.802862634578283e-05"
48,2,"0.0070093457943925,0.0067172897196261,0.0046723632530244,0.300932462131959,0.0107474542730015"
49,2,"0.0055490654205607,0.0055490654205607,4.765227670504574e-06,0.2775419740598553,0.0185487904504657"
